,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Income
1,LP001003,1,1,1,1,0,6.243266653270689,30.0,1,0,0,1.864967187834642
2,LP001005,1,1,0,1,1,5.202609869793578,30.0,1,2,1,1.856555970244763
3,LP001006,1,1,0,0,0,6.138815911878341,30.0,1,2,1,1.862801991049998
4,LP001008,1,0,0,1,0,6.40108265914731,30.0,1,2,1,1.8648193284259
5,LP001011,1,1,2,1,1,7.481930120245435,30.0,1,2,1,1.868931802786796
6,LP001013,1,1,0,0,0,5.766308605778188,30.0,1,2,1,1.8598820653888388
7,LP001014,1,1,3,1,0,6.588770407176041,30.0,0,1,0,1.8640157890148124
8,LP001018,1,1,2,1,0,6.690842482002805,30.0,1,2,1,1.8640009152916823
9,LP001020,1,1,1,1,0,7.956235101810677,30.0,1,1,0,1.8744586579910285
10,LP001024,1,1,2,1,0,5.292292775987911,30.0,1,2,1,1.8600458149568795
11,LP001027,1,1,2,1,0,5.984457744171492,30.0,1,2,1,1.8613340734617618
12,LP001028,1,1,2,1,0,6.984273856782395,30.0,1,2,1,1.870045429098347
13,LP001029,1,0,0,1,0,6.056280501525039,30.0,1,0,0,1.8622312137658623
14,LP001030,1,1,2,1,0,3.274788055227062,10.0,1,2,1,1.853079512479285
15,LP001032,1,0,0,1,0,6.204804957734244,30.0,1,2,1,1.862821877970893
17,LP001036,0,0,0,1,0,5.418524095560883,30.0,0,2,0,1.858702484152016
18,LP001038,1,1,0,0,0,6.305602196486696,30.0,1,0,0,1.8626814942485697
20,LP001043,1,1,0,0,0,5.9096058215908815,30.0,0,2,0,1.8670784938820078
21,LP001046,1,1,1,1,0,7.773212291318927,30.0,1,2,1,1.87029287669064
22,LP001047,1,1,0,0,0,6.084217969428781,30.0,0,1,0,1.8617820868546517
23,LP001050,1,1,2,0,0,6.027898327263307,30.0,0,0,0,1.863518860887169
25,LP001066,1,1,0,1,1,6.906286052916264,30.0,1,1,1,1.8688892890220963
26,LP001068,1,1,0,1,0,6.165503231406164,30.0,1,1,1,1.8630434597973933
27,LP001073,1,1,2,0,0,5.9990562339903,30.0,1,2,1,1.8634868213716298
28,LP001086,1,0,0,0,0,4.268561202711365,30.0,1,2,0,1.843795888257956
29,LP001087,0,0,2,1,0,6.138815911878341,30.0,1,1,1,1.86453884639673
31,LP001095,1,0,0,1,0,5.377476018989611,30.0,1,2,0,1.8573169053636465
32,LP001097,1,0,1,1,1,5.939927336555229,30.0,1,0,0,1.8622288191288705
33,LP001098,1,1,0,1,0,6.056280501525039,30.0,1,1,1,1.8632852102367152
34,LP001100,1,0,3,1,0,7.80121087524958,30.0,1,0,0,1.8721717352915073
37,LP001112,0,1,0,1,0,6.435634182667218,30.0,1,1,1,1.8631999738850709
38,LP001114,1,0,0,1,0,6.843307500443318,30.0,1,2,1,1.8701686617994948
39,LP001116,1,0,0,0,0,5.9990562339903,30.0,1,1,1,1.8637814795398375
40,LP001119,1,0,0,1,0,5.497783417454734,30.0,1,2,0,1.859032174636787
41,LP001120,1,0,0,1,0,4.695313420366752,30.0,1,2,1,1.8566175140273593
43,LP001131,1,1,0,1,0,6.317815616383653,30.0,1,1,1,1.8652591372824885
46,LP001138,1,1,1,1,0,4.598738319951352,30.0,1,2,1,1.8642152204237719
47,LP001144,1,1,0,1,0,6.435634182667218,30.0,1,2,1,1.8645182187849891
48,LP001146,0,1,0,1,0,6.138815911878341,30.0,0,2,0,1.8649575432130217
49,LP001151,0,0,0,1,0,6.435634182667218,30.0,1,1,1,1.8652560686663917
50,LP001155,0,1,0,0,0,5.847354460601608,30.0,1,1,1,1.8589309681102881
51,LP001157,0,0,0,1,0,6.138815911878341,30.0,1,1,1,1.8569557038223095
52,LP001164,0,0,0,1,0,6.027898327263307,30.0,1,1,0,1.8610313262838276
53,LP001179,1,1,2,1,0,6.317815616383653,30.0,1,2,0,1.8620445088366229
54,LP001186,0,1,1,1,1,7.602463814767873,30.0,0,2,0,1.8702445671514725
55,LP001194,1,1,2,1,0,5.799177386592547,30.0,1,1,1,1.8599659578434893
56,LP001195,1,1,0,1,0,5.782820043161546,30.0,1,1,1,1.8594628769583557
57,LP001197,1,1,0,1,0,6.329947269758654,30.0,1,0,0,1.8640639023912335
58,LP001198,1,1,1,1,0,6.806344711177298,30.0,1,2,1,1.8694737455998487
59,LP001199,1,1,2,0,0,6.435634182667218,30.0,1,2,1,1.8651648655026403
60,LP001205,1,1,0,1,0,6.138815911878341,30.0,1,2,1,1.8652882146674414
61,LP001206,1,1,3,1,0,5.831441721694374,30.0,1,2,1,1.856692704447524
62,LP001207,1,1,0,0,1,6.660808235596759,15.0,0,0,0,1.8649139615819847
64,LP001222,0,0,0,1,0,6.084217969428781,30.0,0,1,0,1.860849575689397
65,LP001225,1,1,0,1,0,7.42211661527412,30.0,1,1,0,1.8694673021387078
66,LP001228,1,0,0,0,0,6.21771697872411,15.0,0,2,0,1.8638541501703263
67,LP001233,1,1,1,1,0,7.756220520530833,30.0,1,2,1,1.869765197299608
68,LP001238,1,1,3,0,1,6.204804957734244,5.0,1,2,1,1.86640742681308
69,LP001241,0,0,0,1,0,6.341998303658538,30.0,0,1,0,1.8612253562105783
70,LP001243,1,1,0,1,0,6.7301459040729945,30.0,1,2,1,1.8652545337967774
71,LP001245,1,1,2,0,1,5.799177386592547,30.0,1,1,1,1.8595545156473525
72,LP001248,1,0,0,1,0,5.517040082765307,25.0,1,1,1,1.8586650526428483
74,LP001253,1,1,3,1,1,6.870557906044639,30.0,1,1,1,1.866330714945342
75,LP001255,1,0,0,1,0,6.042145935177422,40.0,1,2,0,1.8595545156473525
76,LP001256,1,0,0,1,0,6.7686350427975635,30.0,1,2,0,1.8679554163046956
77,LP001259,1,1,1,1,1,5.9990562339903,30.0,1,2,0,1.860424557054004
78,LP001263,1,1,3,1,0,6.806344711177298,25.0,0,1,0,1.8664919239813857
80,LP001265,0,0,0,1,0,6.013535752225255,30.0,1,1,1,1.8598723296546837
82,LP001267,0,1,2,1,0,6.680885086882129,30.0,1,2,0,1.8577103806734694
84,LP001275,1,1,1,1,0,4.786491134274085,20.0,1,2,1,1.8603207907952755
85,LP001279,1,0,0,1,0,6.341998303658538,30.0,1,1,1,1.8627039618631618
87,LP001282,1,1,0,1,0,5.9096058215908815,30.0,1,1,1,1.8620494185300343
88,LP001289,1,0,0,1,0,7.067305495138891,30.0,1,2,1,1.8680186869535753
89,LP001310,1,1,0,1,0,6.759087153852618,30.0,1,1,1,1.869126834639186
90,LP001316,1,1,0,1,0,6.280925342709639,30.0,1,1,1,1.8645816126407653
91,LP001318,1,1,2,1,0,6.8795539666452035,15.0,1,1,1,1.8704834228684053
92,LP001319,1,1,2,0,0,5.517040082765307,30.0,1,2,1,1.86313060722643
93,LP001322,1,0,0,1,0,6.165503231406164,30.0,1,1,1,1.8607541810065102
94,LP001325,1,0,0,0,0,3.7965959834592495,10.0,1,1,1,1.8591037301840962
96,LP001327,0,1,0,1,0,6.353969840750342,30.0,1,1,1,1.8624505565108684
97,LP001333,1,1,0,1,0,4.786491134274085,30.0,1,1,1,1.8564316492021786
98,LP001334,1,1,0,0,0,6.070303903069571,15.0,1,1,1,1.860912531896496
99,LP001343,1,1,0,1,0,6.280925342709639,30.0,1,1,1,1.8635547282056573
100,LP001345,1,1,2,0,0,6.305602196486696,15.0,1,2,1,1.8669538694933268
101,LP001349,1,0,0,1,0,6.513800368370525,30.0,1,1,1,1.8680972030992093
104,LP001357,1,1,0,1,0,6.60964115016159,30.0,1,2,1,1.861930679438166
105,LP001367,1,1,1,1,0,5.847354460601608,30.0,1,2,1,1.8606044365178611
106,LP001369,1,1,2,1,0,7.185411185091604,30.0,1,2,1,1.8708369101772884
107,LP001370,1,0,0,0,0,6.138815911878341,30.0,1,0,0,1.8666961613539517
108,LP001379,1,1,2,1,0,7.115431607135431,30.0,0,2,0,1.8667766013185991
109,LP001384,1,1,3,0,0,5.749639977625254,40.0,1,1,1,1.8556857067086956
110,LP001385,1,0,0,1,0,6.341998303658538,30.0,1,2,1,1.8635864540622034
111,LP001387,0,1,0,1,0,6.377678797405123,30.0,1,1,1,1.86347878819664
114,LP001398,1,0,0,1,0,6.111725188742533,30.0,1,1,1,1.8630391810141698
115,LP001401,1,1,1,1,0,6.852435120940042,15.0,1,0,1,1.8718024356036655
116,LP001404,0,1,0,1,0,6.5463055633128056,30.0,1,1,1,1.8638465371761321
118,LP001421,1,1,0,1,0,6.759087153852618,30.0,1,0,0,1.8671347566583107
119,LP001422,0,0,0,1,0,7.42885449773168,30.0,1,2,1,1.8695292311665854
120,LP001426,1,1,0,1,0,6.806344711177298,30.0,1,0,1,1.8677929025344184
121,LP001430,0,0,0,1,0,4.598738319951352,30.0,1,1,1,1.860849575689397
122,LP001431,0,0,0,1,0,6.353969840750342,30.0,0,1,1,1.870005955084317
123,LP001432,1,1,2,1,0,5.517040082765307,30.0,1,1,1,1.8563494589581826
124,LP001439,1,1,0,0,0,6.93264284218059,30.0,1,0,1,1.8653156380119067
126,LP001448,1,1,3,1,0,8.061411381576212,30.0,1,0,1,1.8744574622568666
128,LP001451,1,1,1,1,1,6.60964115016159,15.0,0,2,0,1.8717085055367355
131,LP001473,1,0,0,1,0,5.377476018989611,30.0,1,2,1,1.8601813519315575
132,LP001478,1,0,0,1,0,5.292292775987911,30.0,1,1,1,1.8551117997172002
133,LP001482,1,1,0,1,1,3.7965959834592495,10.0,1,1,1,1.8585098549360273
134,LP001487,1,0,0,1,0,5.878754831057362,30.0,1,1,1,1.8626994739623461
135,LP001488,1,1,3,1,0,7.626917542648049,30.0,1,1,0,1.8703938577928336
136,LP001489,0,1,0,1,0,5.573552654296566,30.0,1,0,0,1.8619630258674904
137,LP001491,1,1,2,1,1,5.646141155368407,30.0,1,2,1,1.8660352420416875
138,LP001492,1,0,0,1,0,7.310984434403335,30.0,0,1,0,1.8719742517163707
139,LP001493,1,1,2,0,0,6.2559070165192,30.0,1,0,0,1.8641808829653346
140,LP001497,1,1,2,1,0,6.852435120940042,30.0,1,0,0,1.8664390978481642
141,LP001498,1,0,0,1,0,6.690842482002805,30.0,1,2,1,1.8637834019185477
142,LP001504,1,0,0,1,1,6.759087153852618,15.0,1,1,1,1.86621375119179
143,LP001507,1,1,0,1,0,6.165503231406164,30.0,1,1,1,1.8623239995177088
144,LP001508,1,1,2,1,0,6.870557906044639,15.0,1,2,1,1.8703979678611564
145,LP001514,0,1,0,1,0,5.847354460601608,30.0,1,1,1,1.8660352420416875
146,LP001516,0,1,2,1,0,5.292292775987911,30.0,1,2,1,1.871920121245109
147,LP001518,1,1,1,1,0,4.050366196402662,30.0,1,2,1,1.8563785497047094
148,LP001519,0,0,0,1,0,7.185411185091604,30.0,1,0,0,1.8703442428192136
149,LP001520,1,1,0,1,0,6.204804957734244,30.0,1,1,1,1.8642887181166927
150,LP001528,1,0,0,1,0,6.111725188742533,30.0,0,0,0,1.8652591372824885
151,LP001529,1,1,0,1,1,6.524699519931802,30.0,1,0,1,1.8653353694374848
152,LP001531,1,0,0,1,0,7.325231546073944,30.0,1,2,0,1.8685615284634258
153,LP001532,1,1,2,0,0,6.042145935177422,30.0,1,0,0,1.8523533368263765
154,LP001535,1,0,0,1,0,4.786491134274085,30.0,1,2,1,1.8576894346781363
155,LP001536,1,1,3,1,0,8.955539021938351,15.0,0,1,1,1.8766099075456872
157,LP001543,1,1,1,1,0,6.870557906044639,30.0,1,2,1,1.8688715356615397
158,LP001546,1,0,0,1,0,6.138815911878341,30.0,1,0,1,1.8630669468337584
159,LP001552,1,1,0,1,0,7.40176097895639,30.0,1,1,1,1.8693856621021618
160,LP001560,1,1,0,0,0,5.815383640723757,30.0,1,1,1,1.856088506272343
161,LP001562,1,1,0,1,0,7.533593144601115,30.0,1,2,0,1.867379045756297
162,LP001565,1,1,1,1,0,6.152209203414194,30.0,0,1,0,1.8614119389130943
163,LP001570,1,1,2,1,0,6.588770407176041,30.0,1,0,1,1.864151829313762
164,LP001572,1,1,0,1,0,5.398123220208909,15.0,1,2,1,1.8686946734423024
166,LP001577,0,1,0,1,0,6.027898327263307,30.0,1,0,0,1.8619630258674904
167,LP001578,1,1,0,1,0,6.2559070165192,30.0,1,0,1,1.8644333089850158
168,LP001579,1,0,0,1,0,5.13207765011887,40.0,0,1,0,1.8520306513917923
169,LP001580,1,1,2,1,0,6.984273856782395,30.0,1,1,1,1.8674503981850503
170,LP001581,1,1,0,0,0,5.766308605778188,30.0,1,0,1,1.8589925591112437
171,LP001585,1,1,3,1,0,9.24984983585632,25.0,1,2,1,1.8774777560694829
172,LP001586,1,1,3,0,0,5.517040082765307,15.0,1,0,0,1.8587471870250867
173,LP001594,1,1,0,1,0,6.870557906044639,30.0,1,1,1,1.8701420433008744
174,LP001603,1,1,0,0,1,5.628276878031187,30.0,1,1,0,1.8631030917265163
175,LP001606,1,1,0,1,0,6.084217969428781,30.0,1,0,1,1.8638674523626713
176,LP001608,1,1,2,1,0,5.86312460680268,30.0,1,0,1,1.8592590426493152
177,LP001610,1,1,3,1,0,8.594554707383882,30.0,0,1,0,1.8726469205238911
178,LP001616,1,1,1,1,0,6.084217969428781,30.0,1,1,1,1.8595545156473525
179,LP001630,1,0,0,0,0,5.878754831057362,40.0,0,2,0,1.8596684857198822
180,LP001633,1,1,1,1,0,6.806344711177298,30.0,0,2,0,1.8713883058429173
182,LP001636,1,1,0,1,0,5.356576127946356,15.0,1,1,1,1.862005113707228
183,LP001637,1,1,1,1,0,7.435569004425436,30.0,1,1,0,1.875980812128717
184,LP001639,0,1,0,1,0,5.9697382001882175,30.0,1,1,1,1.8591215245713582
185,LP001640,1,1,0,1,1,6.138815911878341,30.0,1,1,1,1.8769367044839158
186,LP001641,1,1,1,1,1,5.202609869793578,25.0,0,0,0,1.8515823856904394
188,LP001644,1,1,0,1,1,6.690842482002805,30.0,1,0,1,1.864769828787268
189,LP001647,1,1,0,1,0,6.8795539666452035,15.0,1,0,1,1.8686988572778616
190,LP001653,1,0,0,0,0,4.726273851520308,30.0,1,0,1,1.8626769922779356
191,LP001656,1,0,0,1,0,6.650687533216999,30.0,1,1,0,1.8705383632302692
192,LP001657,1,1,0,0,0,6.60964115016159,30.0,1,2,0,1.8648733422391073
193,LP001658,1,0,0,1,0,5.418524095560883,30.0,1,1,1,1.859911203020537
194,LP001664,1,0,0,1,0,6.138815911878341,30.0,1,0,1,1.8609210776127363
195,LP001665,1,1,1,1,0,6.710598246596588,30.0,1,1,0,1.86432072981896
196,LP001666,1,0,0,1,0,6.870557906044639,30.0,1,0,1,1.8705853241803898
199,LP001673,1,0,0,1,1,5.554919881844446,30.0,1,2,0,1.8699305378467435
200,LP001674,1,1,1,0,0,5.681328174225169,30.0,1,1,1,1.8631453787705101
201,LP001677,1,0,2,1,0,6.6708738773016,30.0,0,1,1,1.862762050347362
203,LP001688,1,1,1,0,0,6.329947269758654,30.0,1,2,1,1.8619630258674904
204,LP001691,1,1,2,0,0,6.191799621937822,30.0,1,1,1,1.860099671558564
205,LP001692,0,0,0,0,0,6.138815911878341,30.0,1,1,1,1.8615154156119398
206,LP001693,0,0,0,1,0,5.497783417454734,30.0,1,2,1,1.8576473944995002
207,LP001698,1,0,0,0,0,4.928044571103062,30.0,1,0,1,1.8656008908859294
208,LP001699,1,0,0,1,0,5.0331763531043325,30.0,1,2,1,1.853695354929572
209,LP001702,1,0,0,1,0,6.23053708713108,30.0,1,1,0,1.8583518150855842
210,LP001708,0,0,0,1,0,7.099524755573283,30.0,1,1,0,1.869231709202717
211,LP001711,1,1,3,1,0,6.243266653270689,30.0,0,1,0,1.8622000224090376
212,LP001713,1,1,1,1,1,7.296630942725449,30.0,1,2,1,1.867220317403047
213,LP001715,1,1,3,0,1,6.268459486245779,30.0,1,0,1,1.8643118531971234
214,LP001716,1,1,0,1,0,6.353969840750342,30.0,1,2,1,1.8651305175541684
215,LP001720,1,1,3,0,0,5.847354460601608,30.0,1,1,1,1.8625589416317498
216,LP001722,1,1,0,1,0,6.329947269758654,30.0,1,0,0,1.8496587834070708
217,LP001726,1,1,0,1,0,6.280925342709639,30.0,1,1,1,1.8639448442331592
218,LP001732,1,1,2,1,0,5.335416928713003,30.0,0,1,0,1.862931361204536
220,LP001736,1,1,0,1,0,5.058454798308994,30.0,0,2,0,1.8519108911506312
221,LP001743,1,1,2,1,0,6.084217969428781,30.0,1,1,1,1.8643525873463869
222,LP001744,1,0,0,1,0,6.435634182667218,30.0,1,1,1,1.8644158447580264
224,LP001750,1,1,0,1,0,6.243266653270689,30.0,1,1,1,1.8652175842037744
225,LP001751,1,1,0,1,0,6.710598246596588,30.0,1,0,0,1.8576726423721455
226,LP001754,1,1,0,0,1,6.365862980013103,30.0,1,2,0,1.862331088385223
227,LP001758,1,1,2,1,0,7.067305495138891,30.0,1,1,1,1.8673918929872553
228,LP001760,1,1,0,1,0,6.588770407176041,40.0,1,1,1,1.8623852088517014
229,LP001761,1,0,0,1,1,6.984273856782395,30.0,1,0,1,1.8654450270606449
230,LP001765,1,1,1,1,0,5.9096058215908815,30.0,1,1,1,1.8618680770843299
231,LP001768,1,1,0,1,0,4.531005744573636,15.0,1,0,1,1.8594389525243173
233,LP001776,0,0,0,1,0,7.565199722123965,30.0,1,1,1,1.86779190854062
234,LP001778,1,1,1,1,0,6.38941834650786,30.0,1,1,1,1.8627864850636482
235,LP001784,1,1,1,1,0,6.710598246596588,30.0,1,0,1,1.8659590406922542
238,LP001790,0,0,1,1,0,6.027898327263307,30.0,1,0,1,1.8597611727235481
239,LP001792,1,1,1,1,0,5.782820043161546,30.0,1,1,1,1.8579416622017664
240,LP001798,1,1,2,1,0,6.138815911878341,30.0,1,0,1,1.8698114152296705
241,LP001800,1,1,1,0,0,6.38941834650786,15.0,1,2,0,1.8617361597914122
242,LP001806,1,0,0,1,0,6.55701403388141,5.0,1,2,1,1.8681131425178799
243,LP001807,1,1,2,1,1,5.9697382001882175,30.0,1,0,1,1.8669527134135424
244,LP001811,1,1,0,0,0,6.178699536195794,30.0,1,1,1,1.8672598768596984
245,LP001813,1,0,0,1,1,6.138815911878341,15.0,1,2,0,1.869511516834086
246,LP001814,1,1,2,1,0,6.027898327263307,30.0,1,2,1,1.8690031799959146
247,LP001819,1,1,1,0,0,6.353969840750342,15.0,1,2,1,1.865747245850806
248,LP001824,1,1,1,1,0,6.178699536195794,40.0,1,1,1,1.8623074320374653
249,LP001825,1,1,0,1,0,5.681328174225169,30.0,1,2,1,1.8593043850914264
250,LP001835,1,1,0,0,0,6.992743152539837,30.0,0,1,0,1.8640491349808683
251,LP001836,0,0,2,1,0,6.365862980013103,30.0,1,2,0,1.8583867545980697
252,LP001841,1,0,0,0,1,5.9096058215908815,30.0,1,0,1,1.862366429851376
253,LP001843,1,1,1,0,0,7.558919275433357,15.0,1,1,1,1.8690494241061246
254,LP001844,1,0,0,1,1,6.9151127979654925,30.0,0,2,0,1.8724497755814387
255,LP001846,0,0,3,1,0,7.40176097895639,30.0,1,0,1,1.856942047582122
256,LP001849,1,0,0,0,0,6.070303903069571,30.0,0,0,0,1.864892871619518
257,LP001854,1,1,3,1,0,5.749639977625254,30.0,1,2,0,1.8634546324736398
258,LP001859,1,1,0,1,0,7.710179557119494,30.0,1,0,0,1.8726357063002714
261,LP001868,1,0,0,1,0,6.317815616383653,30.0,1,1,1,1.861140029665702
262,LP001870,0,0,1,1,0,6.55701403388141,3.0,1,1,0,1.8585934797207266
263,LP001871,0,0,0,1,0,6.138815911878341,30.0,1,0,1,1.8665330988797872
264,LP001872,1,0,0,1,1,6.243266653270689,30.0,1,1,1,1.8632831436305606
265,LP001875,1,0,0,1,0,6.513800368370525,30.0,1,0,1,1.8669434563285083
266,LP001877,1,1,2,1,0,6.502836052403876,30.0,1,1,1,1.864973609505742
267,LP001882,1,1,3,1,0,6.60964115016159,30.0,0,2,1,1.865051754852992
268,LP001883,0,0,0,1,0,6.329947269758654,30.0,1,0,0,1.8583518150855842
269,LP001884,0,0,1,1,0,5.681328174225169,30.0,1,2,1,1.861588846211086
270,LP001888,0,0,0,1,0,4.050366196402662,30.0,1,2,1,1.857617848138292
271,LP001891,1,1,0,1,0,6.341998303658538,30.0,1,2,1,1.8700244605800715
272,LP001892,1,0,0,1,0,6.21771697872411,30.0,1,0,1,1.8622240275100377
273,LP001894,1,1,0,1,0,6.502836052403876,30.0,1,1,1,1.862581794308521
274,LP001896,1,1,2,1,0,5.681328174225169,30.0,1,1,1,1.8600458149568795
275,LP001900,1,1,1,1,0,6.070303903069571,30.0,1,1,1,1.8619853373802036
276,LP001903,1,1,0,1,0,7.042776495985061,30.0,1,1,1,1.8666158142270295
277,LP001904,1,1,0,1,0,5.497783417454734,30.0,1,2,1,1.8615022278262259
278,LP001907,1,1,0,1,0,8.360168539818451,30.0,1,1,1,1.8718024356036655
280,LP001910,1,0,1,0,1,6.588770407176041,30.0,0,2,0,1.8655615605153462
281,LP001914,1,1,0,1,0,6.027898327263307,30.0,1,1,1,1.8623121694357667
282,LP001915,1,1,2,1,0,5.4586111294991095,15.0,1,2,1,1.857825949440886
283,LP001917,0,0,0,1,0,4.900687814797254,30.0,1,2,1,1.858578335485669
285,LP001924,1,0,0,1,0,5.663823633455988,30.0,1,0,1,1.8651570755088627
286,LP001925,0,0,0,1,1,5.831441721694374,25.0,1,1,0,1.8612717494592015
287,LP001926,1,1,0,1,0,6.138815911878341,30.0,1,0,1,1.8643136294744476
288,LP001931,0,0,0,1,0,6.070303903069571,30.0,1,1,1,1.8607279616475834
289,LP001935,1,0,0,1,0,6.870557906044639,30.0,1,0,1,1.8688472252511512
290,LP001936,1,1,0,1,0,6.377678797405123,30.0,1,0,1,1.8639241674216198
291,LP001938,1,1,2,1,0,6.23053708713108,30.0,0,1,0,1.8614943041442615
292,LP001940,1,1,2,1,0,6.317815616383653,30.0,1,2,1,1.8622789430424582
293,LP001945,0,0,0,1,0,6.42418959714145,40.0,0,2,0,1.8637834019185477
294,LP001947,1,1,0,1,0,6.7301459040729945,30.0,1,1,1,1.8643366777777282
295,LP001949,1,1,3,1,0,5.9990562339903,30.0,1,2,1,1.8642457938787507
296,LP001953,1,1,1,1,0,6.984273856782395,30.0,1,1,1,1.8661144955812117
297,LP001954,0,1,1,1,0,6.329947269758654,30.0,1,2,1,1.862166283030079
298,LP001955,0,0,0,1,0,6.513800368370525,40.0,1,0,0,1.8669422981358532
299,LP001963,1,1,1,1,0,6.042145935177422,30.0,1,2,0,1.8627975642015162
300,LP001964,1,1,0,0,0,5.732810965878327,30.0,0,2,0,1.862328726193568
301,LP001972,1,1,0,0,0,5.924831562631176,30.0,1,1,1,1.8620665768532254
302,LP001974,0,0,0,1,0,6.293305837923777,30.0,1,0,1,1.862931361204536
303,LP001977,1,1,1,1,0,5.782820043161546,30.0,1,2,1,1.8583906280949984
304,LP001978,1,0,0,1,0,6.38941834650786,30.0,1,0,1,1.8655921724224425
306,LP001993,0,0,0,1,0,6.329947269758654,30.0,1,0,1,1.8638045122870959
